id,ml_id,ml_title,ml_year,title,year
1,1,Toy Story,1995,Toy Story,1995
2,2,Jumanji,1995,Jumanji,1995
3,3,Grumpier Old Men,1995,Grumpier Old Men,1995
4,4,Waiting to Exhale,1995,Waiting to Exhale,1995
122888,122888,Ben-hur,2016,Ben-hur,2016
8,8,Tom and Huck,1995,Tom and Huck,1995
10,10,GoldenEye,1995,GoldenEye,1995
73741,73741,Ninja,2009,Ninja,2009
15,15,Cutthroat Island,1995,Cutthroat Island,1995
16,16,Casino,1995,Casino,1995
18,18,Four Rooms,1995,Four Rooms,1995
114707,114707,Horns,2014,Horns,2014
21,21,Get Shorty,1995,Get Shorty,1995
22,22,Copycat,1995,Copycat,1995
23,23,Assassins,1995,Assassins,1995
25,25,Leaving Las Vegas,1995,Leaving Las Vegas,1995
57370,57370,Mad Money,2008,Mad Money,2008
27,27,Now and Then,1995,Now and Then,1995
31,31,Dangerous Minds,1995,Dangerous Minds,1995
34,34,Babe,1995,Babe,1995
35,35,Carrington,1995,Carrington,1995
36,36,Dead Man Walking,1995,Dead Man Walking,1995
39,39,Clueless,1995,Clueless,1995
42,42,Dead Presidents,1995,Dead Presidents,1995
45,45,To Die For,1995,To Die For,1995
46,46,How to Make an American Quilt,1995,How to Make an American Quilt,1995
8239,8239,Viridiana,1961,Viridiana,1961
8238,8238,Little Murders,1971,Little Murders,1971
52,52,Mighty Aphrodite,1995,Mighty Aphrodite,1995
55,55,Georgia,1995,Georgia,1995
57401,57401,Cleaner,2007,Cleaner,2007
62,62,Mr. Holland's Opus,1995,Mr. Holland's Opus,1995
8254,8254,Arizona Dream,1993,Arizona Dream,1993
65,65,Bio-Dome,1996,Bio-Dome,1996
8259,8259,Hooper,1978,Hooper,1978
32840,32840,Vincent,1982,Vincent,1982
72,72,Kicking and Screaming,1995,Kicking and Screaming,1995
57421,57421,Hatchet,2006,Hatchet,2006
86,86,White Squall,1996,White Squall,1996
89,89,Nick of Time,1995,Nick of Time,1995
98400,98400,Imaginaerum,2012,Imaginaerum,2012
100,100,City Hall,1996,City Hall,1996
101,101,Bottle Rocket,1996,Bottle Rocket,1996
104,104,Happy Gilmore,1996,Happy Gilmore,1996
110,110,Braveheart,1995,Braveheart,1995
111,111,Taxi Driver,1976,Taxi Driver,1976
114,114,Margaret's Museum,1995,Margaret's Museum,1995
118,118,If Lucy Fell,1996,If Lucy Fell,1996
49272,49272,Casino Royale,2006,Casino Royale,2006
139385,139385,The Revenant,2015,The Revenant,2015
49274,49274,Happy Feet,2006,Happy Feet,2006
125,125,Flirting With Disaster,1996,Flirting With Disaster,1996
49280,49280,Bobby,2006,Bobby,2006
131,131,Frankie Starlight,1995,Frankie Starlight,1995
132,132,Jade,1995,Jade,1995
82053,82053,Casino Jack,2010,Casino Jack,2010
8327,8327,Dolls,2002,Dolls,2002
90249,90249,Real Steel,2011,Real Steel,2011
8332,8332,Sunday Bloody Sunday,1971,Sunday Bloody Sunday,1971
73874,73874,Blood and Bone,2009,Blood and Bone,2009
8340,8340,Escape from Alcatraz,1979,Escape from Alcatraz,1979
149,149,Amateur,1994,Amateur,1994
150,150,Apollo 13,1995,Apollo 13,1995
151,151,Rob Roy,1995,Rob Roy,1995
139417,139417,Tale of Tales,2015,Tale of Tales,2015
153,153,Batman Forever,1995,Batman Forever,1995
155,155,Beyond Rangoon,1995,Beyond Rangoon,1995
156,156,Blue in the Face,1995,Blue in the Face,1995
158,158,Casper,1995,Casper,1995
159,159,Clockers,1995,Clockers,1995
161,161,Crimson Tide,1995,Crimson Tide,1995
49314,49314,Harsh Times,2006,Harsh Times,2006
163,163,Desperado,1995,Desperado,1995
167,167,Feast of July,1995,Feast of July,1995
8360,8360,Shrek 2,2004,Shrek 2,2004
168,168,First Knight,1995,First Knight,1995
170,170,Hackers,1995,Hackers,1995
172,172,Johnny Mnemonic,1995,Johnny Mnemonic,1995
65709,65709,This Filthy World,2006,This Filthy World,2006
8366,8366,Saved!,2004,Saved!,2004
82095,82095,Skyline,2010,Skyline,2010
8368,8368,Harry Potter and the Prisoner of Azkaban,2004,Harry Potter and the Prisoner of Azkaban,2004
175,175,Kids,1995,Kids,1995
173,173,Judge Dredd,1995,Judge Dredd,1995
8369,8369,Mindhunters,2004,Mindhunters,2004
180,180,Mallrats,1995,Mallrats,1995
49330,49330,London to Brighton,2006,London to Brighton,2006
182,182,Moonlight and Valentino,1995,Moonlight and Valentino,1995
183,183,Mute Witness,1994,Mute Witness,1994
8376,8376,Napoleon Dynamite,2004,Napoleon Dynamite,2004
184,184,Nadja,1994,Nadja,1994
186,186,Nine Months,1995,Nine Months,1995
98491,98491,Paperman,2012,Paperman,2012
194,194,Smoke,1995,Smoke,1995
195,195,Something to Talk About,1995,Something to Talk About,1995
196,196,Species,1995,Species,1995
198,198,Strange Days,1995,Strange Days,1995
106696,106696,Frozen,2013,Frozen,2013
208,208,Waterworld,1995,Waterworld,1995
215,215,Before Sunrise,1995,Before Sunrise,1995
216,216,Billy Madison,1995,Billy Madison,1995
218,218,Boys on the Side,1995,Boys on the Side,1995
222,222,Circle of Friends,1995,Circle of Friends,1995
223,223,Clerks,1994,Clerks,1994
224,224,Don Juan DeMarco,1995,Don Juan DeMarco,1995
225,225,Disclosure,1994,Disclosure,1994
228,228,Destiny Turns on the Radio,1995,Destiny Turns on the Radio,1995
229,229,Death and the Maiden,1994,Death and the Maiden,1994
230,230,Dolores Claiborne,1995,Dolores Claiborne,1995
233,233,Exotica,1994,Exotica,1994
8425,8425,Meet the Applegates,1991,Meet the Applegates,1991
235,235,Ed Wood,1994,Ed Wood,1994
236,236,French Kiss,1995,French Kiss,1995
237,237,Forget Paris,1995,Forget Paris,1995
234,234,Exit to Eden,1994,Exit to Eden,1994
49396,49396,Tenacious D in The Pick of Destiny,2006,Tenacious D in The Pick of Destiny,2006
90357,90357,Tyrannosaur,2011,Tyrannosaur,2011
246,246,Hoop Dreams,1994,Hoop Dreams,1994
114935,114935,Predestination,2014,Predestination,2014
247,247,Heavenly Creatures,1994,Heavenly Creatures,1994
249,249,Immortal Beloved,1994,Immortal Beloved,1994
245,245,The Glass Shield,1994,The Glass Shield,1994
252,252,I.Q.,1994,I.Q.,1994
257,257,Just Cause,1995,Just Cause,1995
266,266,Legends of the Fall,1994,Legends of the Fall,1994
268,268,Little Odessa,1994,Little Odessa,1994
106766,106766,Inside Llewyn Davis,2013,Inside Llewyn Davis,2013
8464,8464,Super Size Me,2004,Super Size Me,2004
276,276,Milk Money,1994,Milk Money,1994
278,278,Miami Rhapsody,1995,Miami Rhapsody,1995
280,280,Murder in the First,1995,Murder in the First,1995
98585,98585,Hitchcock,2012,Hitchcock,2012
282,282,Nell,1994,Nell,1994
288,288,Natural Born Killers,1994,Natural Born Killers,1994
289,289,Only You,1994,Only You,1994
290,290,Once Were Warriors,1994,Once Were Warriors,1994
292,292,Outbreak,1995,Outbreak,1995
8487,8487,Please Don't Eat the Daisies,1960,Please Don't Eat the Daisies,1960
296,296,Pulp Fiction,1994,Pulp Fiction,1994
300,300,Quiz Show,1994,Quiz Show,1994
33081,33081,Love Comes Softly,2003,Love Comes Softly,2003
316,316,Stargate,1994,Stargate,1994
90430,90430,Carnage,2011,Carnage,2011
319,319,Shallow Grave,1994,Shallow Grave,1994
322,322,Swimming with Sharks,1995,Swimming with Sharks,1995
57669,57669,In Bruges,2008,In Bruges,2008
41285,41285,Match Point,2005,Match Point,2005
90439,90439,Margin Call,2011,Margin Call,2011
8520,8520,Deep Cover,1992,Deep Cover,1992
327,327,Tank Girl,1995,Tank Girl,1995
330,330,Tales from the Hood,1995,Tales from the Hood,1995
325,325,National Lampoon's Senior Trip,1995,National Lampoon's Senior Trip,1995
333,333,Tommy Boy,1995,Tommy Boy,1995
334,334,Vanya on 42nd Street,1994,Vanya on 42nd Street,1994
337,337,What's Eating Gilbert Grape,1993,What's Eating Gilbert Grape,1993
8530,8530,Dear Frankie,2004,Dear Frankie,2004
339,339,While You Were Sleeping,1995,While You Were Sleeping,1995
342,342,Muriel's Wedding,1994,Muriel's Wedding,1994
347,347,Bitter Moon,1992,Bitter Moon,1992
349,349,Clear and Present Danger,1994,Clear and Present Danger,1994
351,351,"Corrina, Corrina",1994,"Corrina, Corrina",1994
356,356,Forrest Gump,1994,Forrest Gump,1994
357,357,Four Weddings and a Funeral,1994,Four Weddings and a Funeral,1994
90471,90471,Puncture,2011,Puncture,2011
361,361,It Could Happen to You,1994,It Could Happen to You,1994
368,368,Maverick,1994,Maverick,1994
369,369,Mrs. Parker and the Vicious Circle,1994,Mrs. Parker and the Vicious Circle,1994
33136,33136,House of D,2004,House of D,2004
372,372,Reality Bites,1994,Reality Bites,1994
373,373,Red Rock West,1992,Red Rock West,1992
375,375,Safe Passage,1994,Safe Passage,1994
377,377,Speed,1994,Speed,1994
