movie_id,ml_id,ml_title,ml_year,redial_title,redial_year,plot,title,imdb_id,tmdb_id
1,1,Toy Story,1995,Toy Story,1995,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.,Toy Story (1995),0114709,862
2,2,Jumanji,1995,Jumanji,1995,"When two kids find and play a magical board game, they release a man trapped for decades in it and a host of dangers that can only be stopped by finishing the game.",Jumanji,0113497,8844
3,3,Grumpier Old Men,1995,Grumpier Old Men,1995,"John and Max resolve to save their beloved bait shop from turning into an Italian restaurant, just as its new female owner catches Max's attention.",Grumpier Old Men,0113228,15602
4,4,Waiting to Exhale,1995,Waiting to Exhale,1995,"Based on Terry McMillan's novel, this film follows four very different African-American women and their relationships with the male gender.",Waiting to Exhale,0114885,31357
122888,122888,Ben-hur,2016,Ben-hur,2016,"A Jewish nobleman, Judah Ben-Hur, and his adopted Roman brother Messala are best friends despite their different origins. Messala enlists in the Roman army and fights in the Roman Empire's wars in Germany. Ben-Hur also develops feelings for the family slave Esther although their different station in life compels him not to pursue her. But when her father Simonides seeks to marry her off to a Roman, Ben-Hur declares his love for her and takes her as his wife. Three years later, Messala returns as a decorated Roman officer. His return coincides with a rising insurrection by the Zealots, Jews who are opposed to the oppressive nature of Roman rule..",Ben-Hur,2638144,271969
8,8,Tom and Huck,1995,Tom and Huck,1995,Two best friends witness a murder and embark on a series of adventures in order to prove the innocence of the man wrongly accused of the crime.,Tom and Huck,0112302,45325
10,10,GoldenEye,1995,GoldenEye,1995,James Bond teams up with the lone survivor of a destroyed Russian research center to stop the hijacking of a nuclear space weapon by a fellow Agent formerly believed to be dead.,GoldenEye,0113189,710
73741,73741,Ninja,2009,Ninja,2009,"Casey, a Westerner studies Ninjitsu in Japan. And in their Master's possession is an Ninja armor with some legendary weapons which goes to a deserving person. Masazuka, another student thinks he is that person but the Master has an affinity for Casey. One day Masazuka attacks Casey and Casey defends himself scarring Masazuka. Masazuka would be banished. He would then become an assassin, who works for a group criminals called The Ring. Masazuka would return demanding the armor but the Master still refuses. The Master tells Casey and his daughter, Namiko to take the armor to America were it can be kept from Masazuka. After killing the Master, Masazuka follows them to Anmerica and tries to get it. Casey is erroneously arrested for crimes committed by Masazuka. He eventually abducts Namiko and demands turn the armor to him. Casey tells him if he wants he'll have to fight him for it.::rcs0411@yahoo.com",Ninja,1182921,25602
15,15,Cutthroat Island,1995,Cutthroat Island,1995,A female pirate and her companion race against their rivals to find a hidden island that contains a fabulous treasure.,Cutthroat Island,0112760,1408
16,16,Casino,1995,Casino,1995,"A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive, compete against each other over a gambling empire, and over a fast living and fast loving socialite.",Casino,0112641,524
18,18,Four Rooms,1995,Four Rooms,1995,Four interlocking tales that take place in a fading hotel on New Year's Eve.,Four Rooms,0113101,5
